epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.0848,1.01836,1.95964,1.38785,0.7031,0.5709,0.66074,0.40006,1.22621,2.54231,1.87882,0.000656085,0.000656085,0.000656085
2,16.8631,1.10068,1.39916,1.43088,0.83918,0.79762,0.81608,0.49045,1.24862,1.76445,1.87823,0.00130638,0.00130638,0.00130638
3,24.5974,1.10815,1.17743,1.42495,0.27634,0.26488,0.17635,0.06071,2.33183,2.93592,3.17419,0.00194018,0.00194018,0.00194018
4,32.2513,1.0881,1.06404,1.41155,0.80275,0.65179,0.77319,0.46379,1.31959,1.48056,1.8171,0.00192575,0.00192575,0.00192575
5,39.4633,1.01006,0.93212,1.34587,0.84311,0.8125,0.84484,0.54869,1.1751,1.2075,1.68409,0.001901,0.001901,0.001901
6,46.4287,0.99468,0.86673,1.33491,0.87748,0.87394,0.91277,0.68063,0.90202,0.82162,1.37987,0.00187625,0.00187625,0.00187625
7,53.2568,0.90632,0.78391,1.27187,0.82896,0.84821,0.8836,0.63366,0.98965,0.90106,1.45873,0.0018515,0.0018515,0.0018515
8,59.966,0.9026,0.74579,1.26097,0.92245,0.88505,0.94115,0.67788,0.96631,0.83132,1.48659,0.00182675,0.00182675,0.00182675
9,66.7334,0.89049,0.71253,1.25661,0.93242,0.86232,0.91003,0.68502,0.92193,0.78445,1.3572,0.001802,0.001802,0.001802
10,73.4409,0.87121,0.70432,1.26486,0.94834,0.87422,0.93252,0.74052,0.83068,0.65319,1.27605,0.00177725,0.00177725,0.00177725
11,80.2199,0.82654,0.66245,1.21709,0.94743,0.86012,0.91963,0.62014,1.08543,0.69782,1.56204,0.0017525,0.0017525,0.0017525
12,86.9558,0.83189,0.66104,1.20179,0.95738,0.90476,0.95101,0.73334,0.83993,0.84891,1.29846,0.00172775,0.00172775,0.00172775
13,93.6604,0.78468,0.62681,1.20834,0.94887,0.939,0.96359,0.79684,0.70922,0.50363,1.2068,0.001703,0.001703,0.001703
14,100.405,0.7587,0.59565,1.17282,0.99039,0.92052,0.96303,0.80509,0.65684,0.49675,1.11506,0.00167825,0.00167825,0.00167825
15,107.17,0.76899,0.57881,1.17659,0.9249,0.87966,0.92314,0.73609,0.81756,0.60699,1.25241,0.0016535,0.0016535,0.0016535
16,114.034,0.74853,0.57684,1.17769,0.94829,0.91071,0.96065,0.79273,0.69168,0.56021,1.14067,0.00162875,0.00162875,0.00162875
17,121.015,0.72735,0.55855,1.1448,0.92541,0.92307,0.93917,0.75903,0.74731,0.53119,1.19434,0.001604,0.001604,0.001604
18,128.06,0.70024,0.54057,1.13871,0.94197,0.88988,0.94989,0.78222,0.71124,0.545,1.17865,0.00157925,0.00157925,0.00157925
19,134.853,0.69063,0.53804,1.13638,0.97794,0.92344,0.97124,0.80854,0.6676,0.46157,1.1172,0.0015545,0.0015545,0.0015545
20,141.5,0.69073,0.52926,1.13938,0.99371,0.94008,0.97362,0.82687,0.61034,0.46115,1.06013,0.00152975,0.00152975,0.00152975
21,148.236,0.66847,0.52907,1.12187,0.96977,0.95471,0.97175,0.85875,0.57109,0.41116,1.00436,0.001505,0.001505,0.001505
22,154.958,0.66127,0.50113,1.10738,0.95962,0.93452,0.95949,0.83127,0.65296,0.47629,1.11201,0.00148025,0.00148025,0.00148025
23,161.727,0.65194,0.49044,1.11341,0.97546,0.92857,0.97191,0.81272,0.66817,0.46861,1.1203,0.0014555,0.0014555,0.0014555
24,168.414,0.6612,0.50272,1.11129,0.9628,0.91369,0.96551,0.8432,0.57982,0.44268,1.02556,0.00143075,0.00143075,0.00143075
25,175.109,0.64141,0.47161,1.10055,0.94291,0.9375,0.96876,0.86314,0.56672,0.38842,1.03907,0.001406,0.001406,0.001406
26,181.866,0.5943,0.45177,1.08122,0.97523,0.93749,0.97226,0.85738,0.56578,0.44627,1.05104,0.00138125,0.00138125,0.00138125
27,188.739,0.6116,0.45972,1.07146,0.99511,0.94643,0.97662,0.84649,0.61785,0.40814,1.07534,0.0013565,0.0013565,0.0013565
28,195.576,0.62527,0.46962,1.08398,0.99103,0.9375,0.97501,0.85741,0.54607,0.37922,1.00293,0.00133175,0.00133175,0.00133175
29,202.539,0.5706,0.44324,1.07335,0.98431,0.95238,0.97634,0.8648,0.53695,0.39573,0.9879,0.001307,0.001307,0.001307
30,209.354,0.58302,0.43147,1.06266,0.98663,0.9494,0.97712,0.85946,0.54677,0.37264,1.00447,0.00128225,0.00128225,0.00128225
31,216.308,0.56273,0.42603,1.0637,0.97818,0.93382,0.96643,0.85524,0.53339,0.38916,1.01606,0.0012575,0.0012575,0.0012575
32,223.274,0.57804,0.43321,1.07415,0.96851,0.93452,0.97476,0.87003,0.52904,0.38611,1.00532,0.00123275,0.00123275,0.00123275
33,230.289,0.54448,0.4176,1.04358,0.99382,0.95745,0.97708,0.88076,0.52705,0.35624,0.98207,0.001208,0.001208,0.001208
34,237.357,0.54231,0.41322,1.04223,0.9927,0.95833,0.97999,0.88562,0.48105,0.34278,0.95036,0.00118325,0.00118325,0.00118325
35,244.266,0.59507,0.42395,1.07274,0.96427,0.96385,0.97448,0.87633,0.54429,0.36814,0.98347,0.0011585,0.0011585,0.0011585
36,251.154,0.54197,0.40071,1.04675,0.97581,0.96026,0.97434,0.87684,0.52899,0.36047,1.02614,0.00113375,0.00113375,0.00113375
37,258.05,0.53356,0.39436,1.04285,0.98086,0.95833,0.97772,0.88197,0.50532,0.34813,0.98017,0.001109,0.001109,0.001109
38,265.046,0.53542,0.40379,1.03813,0.98678,0.96429,0.97913,0.8892,0.51555,0.34468,0.9748,0.00108425,0.00108425,0.00108425
39,271.886,0.50675,0.39903,1.02613,0.97582,0.96083,0.97801,0.8866,0.49715,0.38476,0.98971,0.0010595,0.0010595,0.0010595
40,278.872,0.50385,0.3826,1.01497,0.9762,0.95238,0.97657,0.90026,0.45345,0.31278,0.93505,0.00103475,0.00103475,0.00103475
41,285.839,0.48199,0.36175,1.0069,0.98767,0.95363,0.97871,0.91025,0.44233,0.31114,0.92077,0.00101,0.00101,0.00101
42,292.822,0.50458,0.37515,1.02915,0.99614,0.94048,0.9759,0.86702,0.51512,0.33232,1.00495,0.00098525,0.00098525,0.00098525
43,299.688,0.48296,0.36261,1.00912,0.99339,0.96726,0.98617,0.91097,0.43794,0.31053,0.90319,0.0009605,0.0009605,0.0009605
44,306.621,0.46951,0.35629,1.01052,0.99052,0.96429,0.97934,0.90248,0.43911,0.30222,0.90744,0.00093575,0.00093575,0.00093575
45,313.503,0.47954,0.36386,1.00868,0.98433,0.96726,0.97817,0.89704,0.43431,0.29126,0.9134,0.000911,0.000911,0.000911
46,320.437,0.4823,0.35792,1.00432,0.98251,0.96429,0.97905,0.91221,0.43873,0.29171,0.90563,0.00088625,0.00088625,0.00088625
47,327.461,0.45438,0.34109,0.99109,0.9969,0.95694,0.98132,0.9213,0.40341,0.2732,0.87486,0.0008615,0.0008615,0.0008615
48,334.533,0.45714,0.34828,0.99027,1,0.9607,0.98441,0.92466,0.40658,0.28727,0.89287,0.00083675,0.00083675,0.00083675
49,341.396,0.45951,0.33099,0.9949,0.9887,0.95238,0.98232,0.92123,0.41969,0.30902,0.90275,0.000812,0.000812,0.000812
50,348.28,0.44763,0.33633,1.00077,0.98834,0.97024,0.98079,0.92423,0.38371,0.28083,0.87028,0.00078725,0.00078725,0.00078725
51,355.125,0.43092,0.3314,0.99358,0.99362,0.96726,0.98036,0.92763,0.37931,0.29277,0.85866,0.0007625,0.0007625,0.0007625
52,362.037,0.43383,0.32877,0.98756,0.98476,0.96128,0.97743,0.91554,0.43234,0.29714,0.89716,0.00073775,0.00073775,0.00073775
